Suprafață utilă,Numărul de camere,Încălzire,Etaj,Chirie,Stare,Tip proprietate,Forma de proprietate,Liber de la,Tip vânzător,Informații suplimentare,Anul construcției,Lift,Facilități,Siguranță,url,Material de construcție,Tip geamuri,Media,Tip clădire,Suprafata_utila_m2
31 m²,1,fără informații,2,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,2022,nu,mobilier,supraveghere video,https://www.storia.ro/ro/oferta/apartament-1-camer-zona-centrul-vechi-IDA2Cw.html,,,,,31
38 m²,1,centrală pe gaz,5/6,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon bucătărie separată,2014,da,mobilier cuptor plită frigider,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/locuinta-moderna-cu-o-camera-mutare-rapida-sos-salaj-rahova-IDEQcK.html,beton,plastic,telefon internet,,38
68.5 m²,3,centrală pe gaz,3/3,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,fără informații,agenție,fără informații,2025,nu,,,https://www.storia.ro/ro/oferta/3-camere-cu-terasa-54-mp-fundeni-dobroesti-IDEr5L.html,beton,plastic,telefon,ansamblu de apartamente,68
52 m²,2,centrală pe gaz,parter/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-20,agenție,fără informații,,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-i-finisat-i-burdujeni-IDEGOd.html,beton,plastic,,ansamblu de apartamente,52
119 m²,4,fără informații,3/3,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,terasă beci scară interioară,2023,da,aer condiționat,alarmă interfon supraveghere video uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-4-camere-terasa-94mp-licurg-2-cartierul-armenesc-IDD8O0.html,beton,,,ansamblu de apartamente,119
37.5 m²,2,centrală pe gaz,3/3,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon,2022,nu,cuptor frigider aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-modern-cu-2-camere-bloc-nou-balcon-generos-parcare-IDFexk.html,cărămidă cu goluri,plastic,internet,ansamblu de apartamente,38
61.1 m²,3,fără informații,fără informații,fără informații,gata de utilizare,locuință nouă,drept de proprietate,fără informații,agenție,balcon,2025,da,aer condiționat,alarmă uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-green-residence-nufarul-IDCYLU.html,cărămidă,aluminiu,cablu tv internet telefon,bloc,61
93 m²,3,centralizată,1,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,2009,nu,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-de-vanzare-victoriei-garaj-i-curte-proprie-IDCBwz.html,,,,,93
121.74 m²,4,centrală pe gaz,1/2,fără informații,fără informații,locuință nouă,drept de proprietate,2025-11-07,agenție,balcon terasă garaj beci scară interioară,2025,nu,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/ap-4-camere-in-imobil-tip-vila-121-74-mp-utili-terasa-28-mp-IDD9UC.html,cărămidă,plastic,,ansamblu de apartamente,122
32 m²,1,centrală pe gaz,1/3,fără informații,gata de utilizare,locuință nouă,drept de proprietate,2025-11-27,agenție,balcon,2025,da,,interfon supraveghere video uși / ferestre blindate,https://www.storia.ro/ro/oferta/garsoniera-cartier-militari-residence-mutare-imediata-IDFILv.html,beton,plastic,internet,,32
54 m²,2,centrală pe gaz,4/5,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,1990,nu,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-de-2-camere-zona-centrala-IDF21V.html,placa de beton,plastic,,ansamblu de apartamente,54
80.6 m²,3,centrală pe gaz,5/9,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,,interfon supraveghere video uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-spatios-3-camere-decomandat-zona-rahova-comision-0-IDFcNa.html,beton,plastic,telefon internet cablu tv,ansamblu de apartamente,81
